User,date,Type,Sample ID,spec #'s,d13C (vpdb),d13C_stdev,d18O_gas (vsmow),d18O_mineral (vpdb),d18O_stdev,d47,d47_stdev,D47 (v. Oz),D47_stdev,D47_sterr,d48,d48_stdev,D48,D48_stdev
,,,BOC,627,-10.77814319,0.003307499,30.32715049,-8.655833643,0.007934924,-2.518070473,0.02506182,-0.831389502,0.02165609,0.007218697,16.45666225,0.300237012,6.074602554,0.283802614
,,,H-881,636,-7.95044579,0.004374275,25.08092006,-13.70357011,0.00508103,-4.571038471,0.029113139,-0.437226108,0.029499536,0.009833179,0.315648764,0.382612824,0.257085068,0.381765764
,,,13540,645,4.452060476,6.80374371,58.16709755,18.13077399,6.652853991,204.2678593,216.5622905,156.3130195,205.5084863,68.50282876,1584.247316,8286.755398,1371.817822,7818.604225
,,,CIT carrara,654,2.09050424,0.003006989,37.44288948,-1.809322475,0.009839384,17.65902683,0.027209527,-0.264678785,0.029470479,0.009823493,40.13335575,0.541444301,15.43056905,0.516099386
,,,H-2473,663,-22.69137493,0.00594313,32.47057678,-6.59350504,0.007599099,-11.76430923,0.027289708,-0.601791569,0.035199437,0.011733146,23.85007466,0.672242611,9.193583864,0.648986515
,,,TV03,673,3.363985482,0.004464185,30.57332373,-8.418974498,0.007274538,12.24537083,0.030493761,-0.051658253,0.031566827,0.010522276,17.60891863,0.692504994,6.727855015,0.672293592
,,,BOC,683,-10.60340171,0.003113175,57.82292041,17.79961897,0.006188,25.30013636,0.021788045,-0.341894003,0.023972519,0.007580776,105.4880753,0.289814648,38.05777921,0.263910509
,,,run27,694,2.692441331,0.002455096,25.95571199,-12.8618764,0.006513431,6.594702642,0.037155296,-0.428714279,0.0315325,0.010510833,2.693124261,0.346973678,0.920793607,0.339321259
,,,run28,703,2.380124887,0.002417823,25.71122241,-13.09711559,0.006763679,6.000490379,0.023172395,-0.47626094,0.020493036,0.006831012,2.001727913,0.248406144,0.707628607,0.236166344
,,,CIT carrara,712,2.106063387,0.003135193,37.42268187,-1.828765527,0.007424909,17.67200233,0.046360775,-0.247035309,0.044237796,0.014745932,40.02206188,0.396954896,15.36146782,0.384409628
,,,OKC-FL,721,-1.472406868,0.004266686,31.12139833,-7.891636594,0.003826271,7.80385689,0.04543396,-0.337365439,0.046081789,0.015360596,19.35505975,0.349587467,7.385894087,0.340474816
,,,eBOC 25degC,731,-10.39798817,0.003575479,58.21348666,18.17540794,0.006956734,26.72523484,0.030468809,0.471105138,0.026370179,0.00879006,106.8202917,0.404195096,38.54169227,0.376084071
,,,run27,740,2.696725583,0.003280269,25.8681588,-12.94611697,0.007217649,6.521021737,0.02798902,-0.419074802,0.027991821,0.009330607,2.318775507,0.204922165,0.717889848,0.194793497
,,,run28,749,2.37371063,0.001635031,25.63139668,-13.17392107,0.003652046,5.873847066,0.029713137,-0.516668205,0.029274341,0.009758114,1.805909709,0.29620599,0.667807423,0.296286338
,,,OKC-HL-NoAcetone,758,-1.430945118,0.002115123,31.16236931,-7.852215779,0.012300719,7.900640391,0.033302702,-0.321818618,0.029707023,0.009902341,19.68075089,0.172590425,7.627672882,0.169514425
,,,TV03,767,3.381206764,0.003428272,30.59043257,-8.402512981,0.006231461,12.29670403,0.039782749,-0.034396318,0.037300645,0.012433548,17.94532829,0.357090704,7.027228598,0.351707664
,,,OKC-BR,776,-1.403454495,0.00256251,30.90209912,-8.102638505,0.006693414,7.621218912,0.026283669,-0.368329065,0.028412293,0.009470764,19.14203158,0.278972435,7.603862484,0.276382057
,,,OKC-HL,785,-1.561491826,0.002969617,31.29255222,-7.726958412,0.005238817,7.883689161,0.017612824,-0.341377168,0.017941538,0.005980513,19.79796861,0.302076795,7.489172098,0.291143039
,,,CIT Carrara,795,2.049274585,0.002315727,37.3616151,-1.887521799,0.005680383,17.56644562,0.021749936,-0.236203348,0.024901515,0.008300505,39.54875389,0.338469263,15.01889488,0.328766291
,,,eBOC,804,-9.456460112,0.003155975,59.31957353,19.23964541,0.005482536,27.98191698,0.03760891,-0.285890901,0.033614273,0.011204758,109.958037,0.574868782,39.31184839,0.53084159
,,,run28,813,1.755666999,0.022694927,24.74666162,-14.0251817,0.008584683,7.371491599,0.32870828,2.447383437,0.356853,0.118951,-46.63402097,4.24857954,-46.07096661,4.235920864
,,,run27,822,2.63149613,0.003074354,25.7573574,-13.05272614,0.004523926,6.345429751,0.022881737,-0.420817761,0.024738599,0.0082462,1.918789038,0.341354064,0.534682693,0.338199558
,,,OKC-BR,831,-1.392481046,0.002081108,30.90884765,-8.096145304,0.009573102,7.657308628,0.03586841,-0.349773005,0.03547664,0.011825547,18.89437149,0.324075221,7.3458081,0.305815152
,,,OKC-FL,840,-1.075484974,0.003203083,30.04402766,-8.928244368,0.007158952,7.111919883,0.031717009,-0.341563612,0.027101037,0.009033679,15.8882447,0.348090748,6.060753814,0.339224367
,,,TV03,849,3.358467058,0.00395827,30.56402305,-8.427923285,0.006240236,12.24069251,0.020556332,-0.041787115,0.016361141,0.005453714,17.81018708,0.336954367,6.9451494,0.323013055
,,,BOC,858,-10.89693712,0.003997801,30.26709571,-8.71361622,0.0095388,-2.697556125,0.014372593,-0.836316876,0.020250258,0.006750086,16.22645792,0.699430268,5.964046582,0.678956412
,,,OKC-HL-NoAcetone,867,-1.447483074,0.004317797,31.13491519,-7.878631155,0.014742178,7.885014658,0.040395775,-0.294248299,0.041887078,0.013962359,18.88508363,0.625779468,6.895030664,0.622158823
,,,OKC-HL,876,-1.544952652,0.001676335,31.30968091,-7.710477792,0.009443948,7.922039861,0.020012302,-0.336206454,0.025151317,0.008383772,19.81869248,0.448354925,7.476170409,0.430125178
,,,CIT Carrara,885,2.070357738,0.00253048,37.37999568,-1.869836662,0.008661615,17.61886263,0.028280051,-0.223013663,0.027051426,0.009017142,39.59913046,0.259638327,15.03210453,0.250190873
,,,OKC-HL,894,-1.54530977,0.003522741,31.33687616,-7.684311492,0.007687811,7.954845421,0.022676393,-0.33018953,0.025227299,0.0084091,20.20684016,0.162161051,7.806479167,0.161920184
,,,OKC-FL,903,-1.479566166,0.003910013,31.09162899,-7.920279602,0.006619339,7.755916235,0.021641348,-0.34860528,0.024541086,0.008180362,19.57267022,0.421793653,7.659132446,0.411001738
